year,tract,Total_Pop,Black,White,Native_Hawaiian_or_Pacific_Islander,Asian,Native_American,Other,MedianRent,Moved in 2015 or later,Moved in 2017 or later,Built 2010 or later,SNAP benefits,Bachelor's degree,Median household income,Mean household income,Total_Housing_Units,Built_2014_or_Later,Built_2010_or_Later,Moved_In_2010_or_Later,Percent_Service_Occupations,Percent_Production_MaterialMoving_Transportation_Construction_Occupations,Percent_Management_Business_Science_Arts_Occupations,Percent_Sales_and_Office_Occupations,NAMELSAD
2012,"Census Tract 417, Erie County, Ohio",6568,16,12984,0,86,152,96,724,,,62309,,477,42252,62309,,,,,19.8,35.6,26,18.6,Census Tract 417
2012,"Census Tract 418, Erie County, Ohio",6273,92,12404,9,48,193,0,843,,,83307,,487,73000,83307,,,,,12.2,30.4,37.1,20.3,Census Tract 418
2012,"Census Tract 9901, Erie County, Ohio",0,0,0,0,0,0,0,0,,,0,,0,0,0,,,,,0,0,0,0,Census Tract 9901
2011,"Census Tract 401, Erie County, Ohio",5613,104,11052,0,0,40,156,793,,,68998,51989,464,,68998,,,,,20.8,29.4,30.2,19.7,Census Tract 401
2011,"Census Tract 402, Erie County, Ohio",4052,0,8008,0,0,108,76,913,,,62999,51047,262,,62999,,,,,20.6,30.4,29.2,19.8,Census Tract 402
2011,"Census Tract 403, Erie County, Ohio",6221,190,12086,8,242,116,112,766,,,64052,60455,513,,64052,,,,,14,28.1,26,31.9,Census Tract 403
2011,"Census Tract 404, Erie County, Ohio",5467,14,10832,0,132,0,0,717,,,76539,61318,982,,76539,,,,,17.5,19,39,24.4,Census Tract 404
2011,"Census Tract 405, Erie County, Ohio",4879,308,9638,0,0,0,82,693,,,62802,58039,647,,62802,,,,,17.3,15.1,33.9,33.7,Census Tract 405
2011,"Census Tract 406, Erie County, Ohio",1097,68,2092,0,0,0,34,667,,,133419,98063,242,,133419,,,,,13.8,9.4,60.4,16.4,Census Tract 406
2011,"Census Tract 407, Erie County, Ohio",4039,1790,6108,0,36,82,168,692,,,50462,30804,233,,50462,,,,,25.8,25.4,21.3,27.5,Census Tract 407
2011,"Census Tract 408, Erie County, Ohio",4384,2292,6724,19,100,42,164,532,,,35733,23225,152,,35733,,,,,32.1,22.5,19.7,25.6,Census Tract 408
2011,"Census Tract 409, Erie County, Ohio",3430,1144,5754,0,66,58,48,560,,,41592,36537,108,,41592,,,,,22.3,29.6,23.8,24.3,Census Tract 409
2011,"Census Tract 410, Erie County, Ohio",2945,1954,3737,0,0,50,224,537,,,35834,35898,62,,35834,,,,,28.2,33.5,18,20.2,Census Tract 410
2011,"Census Tract 411, Erie County, Ohio",3884,2081,5970,0,0,342,11,698,,,53168,39977,258,,53168,,,,,18.9,30,25.9,25.2,Census Tract 411
2011,"Census Tract 412, Erie County, Ohio",2635,1540,3656,0,36,2,116,602,,,40940,33244,225,,40940,,,,,29.9,21.8,26,22.2,Census Tract 412
2011,"Census Tract 413, Erie County, Ohio",3638,1878,5386,0,21,42,63,544,,,50973,38054,173,,50973,,,,,19.9,32.3,25.3,22.5,Census Tract 413
2011,"Census Tract 414, Erie County, Ohio",2968,1226,5064,0,0,0,46,645,,,66699,53548,333,,66699,,,,,6.8,28.7,43.3,21.2,Census Tract 414
2011,"Census Tract 415, Erie County, Ohio",3233,146,6140,0,162,15,87,868,,,76825,57295,592,,76825,,,,,19.1,17,36.4,27.5,Census Tract 415
2011,"Census Tract 416, Erie County, Ohio",5841,886,10660,0,575,116,42,788,,,71880,60881,548,,71880,,,,,19.5,16.5,37.2,26.8,Census Tract 416
2011,"Census Tract 417, Erie County, Ohio",6667,14,13141,0,125,202,118,732,,,61937,46445,432,,61937,,,,,21.6,34.9,25.6,17.9,Census Tract 417
2011,"Census Tract 418, Erie County, Ohio",6230,2,12396,8,47,240,1,870,,,87860,67328,593,,87860,,,,,10.5,29.2,39.2,21,Census Tract 418
2011,"Census Tract 9901, Erie County, Ohio",0,0,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,0,0,0,Census Tract 9901
